actor,pelicula
Armie Hammer,The Lone Ranger
Armie Hammer,The Man from U.N.C.L.E.
Armin Mueller-Stahl,Eastern Promises
Arnaldo André,El niño pez
Arnaud Viard,Bonjour Anne
Arnold Schwarzenegger,Escape Plan
Arnold Schwarzenegger,Terminator Genisys
Art Parkinson,Dracula Untold
Art Parkinson,Kubo and the Two Strings
Arturo Castro,Billy Lynn's Long Halftime Walk
Arturo García Buhr,Fin de fiesta
Arturo García Buhr,Los isleros
Arturo Goetz,Derecho de familia
Arturo Maly,Últimos días de la víctima
Arturo Puig,Tesis sobre un homicidio
Aryana Engineer,Resident Evil: Retribution
Asa Butterfield,Ender's Game
Asa Butterfield,Hugo
Asa Butterfield,Miss Peregrine's Home for Peculiar Children
Asa Butterfield,The Boy in the Striped Pyjamas
Ashleigh Cummings,Hounds of Love
Ashley Benson,Spring Breakers
Ashley C. Williams,The Human Centipede (First Sequence)
Ashley Tisdale,Amateur Night
Ashley Walters,Demain tout commence
Ashlyn Sanchez,The Happening
Ashlynn Yennie,The Human Centipede (First Sequence)
Ashton Kutcher,No Strings Attached
Assumpta Serna,"Yo, la peor de todas"
Astrid Bergès-Frisbey,I Origins
Atilio Pozzobon,Luna de Avellaneda
Aubrey Plaza,Dirty Grandpa
Aubrey Plaza,Mike and Dave Need Wedding Dates
Audrey Fleurot,The Intouchables
Audrey Tautou,L'odyssée
Audrey Tautou,The Da Vinci Code
Auli'i Cravalho,Moana
Aurélien Recoing,La vie d'Adèle
Austin Abrams,Paper Towns
Austin Pendleton,5- 25- 77
Austin Stowell,Colossal
Axel Devillers,La tortue rouge
Ayse Howard,Don't Fuck in the Woods
Babak Karimi,Forushande
Bahar Pars,En man som heter Ove
Bailey Anne Borders,The 5th Wave
Balthazar Murillo,Apache
Baptiste Goy,La tortue rouge
Barbara Crampton,Beyond the Gates
Bárbara Lennie,Contratiempo
Bárbara Lennie,Una especie de familia
Barkhad Abdi,Captain Phillips
Barkhad Abdi,Eye in the Sky
Barkhad Abdirahman,Captain Phillips
Barry Pepper,Monster Trucks
Barry Ward,Realive
Barry Ward,The Survivalist
Bebe,La educación de las hadas
Bee Vang,Gran Torino
Bel Powley,Detour
Belén Blanco,La deuda
Belén Cuesta,Sentimental
Belén Rueda,Séptimo
Bella Darvi,La vuelta al nido
Bella Heathcote,Pride and Prejudice and Zombies
Bella Thorne,The DUFF
Ben Affleck,Argo
Ben Affleck,Batman v Superman: Dawn of Justice
Ben Affleck,Gone Girl
Ben Affleck,Live by Night
Ben Affleck,The Accountant
Ben Affleck,The Town
Ben Barnes,Seventh Son
Ben Burtt,WALL·E
Ben Foster,Hell or High Water
Ben Foster,Inferno
Ben Foster,Lone Survivor
Ben Foster,Pandorum
Ben Foster,The Finest Hours
Ben Foster,Warcraft
Ben Kingsley,Collide
Ben Kingsley,Exodus: Gods and Kings
Ben Kingsley,Hugo
Ben Kingsley,Lucky Number Slevin
Ben Kingsley,Prince of Persia: The Sands of Time
Ben Kingsley,Self/less
Ben Kingsley,Shutter Island
Ben Kingsley,The Dictator
Ben Kingsley,The Jungle Book
Ben Stiller,Night at the Museum: Secret of the Tomb
Ben Stiller,The Heartbreak Kid
Ben Stiller,The Secret Life of Walter Mitty
Ben Stiller,Tropic Thunder
Ben Stiller,Zoolander 2
Ben Walker,The Golden Compass
Ben Whishaw,A Hologram for the King
Ben Whishaw,In the Heart of the Sea
Ben Whishaw,Perfume: The Story of a Murderer
Ben Whishaw,The Danish Girl
Ben Winchell,Max Steel
Benedict Cumberbatch,Black Mass
Benedict Cumberbatch,Doctor Strange
Benedict Cumberbatch,Star Trek Into Darkness
Benedict Cumberbatch,The Imitation Game
Benedict Wong,Doctor Strange
Benicio del Toro,Che
Benicio Del Toro,Savages
Benicio Del Toro,Sicario
Benjamín Amadeo,Crímenes de familia
Benjamín Amadeo,La última fiesta
Benjamin Bratt,Despicable Me 2
Benjamín Vicuña,El hilo rojo
Benjamín Vicuña,Los padecientes
Benjamín Vicuña,Permitidos
Benjamin Walker,The Choice
Bérénice Bejo,A Knight's Tale
Bérénice Bejo,The Artist
Betiana Blum,Esperando la carroza
Beverly D'Angelo,Wakefield
Bijou Phillips,Hostel: Part II
Bill Engvall,The Neighbor
Bill Hader,Inside Out
Bill Hader,Superbad
Bill Hader,Trainwreck
Bill Murray,Fantastic Mr. Fox
Bill Murray,Moonrise Kingdom
Bill Murray,The Jungle Book
Bill Nighy,About Time
Bill Nighy,Harry Potter and the Deathly Hallows: Part 1
Bill Nighy,Hot Fuzz
Bill Nighy,Their Finest
Bill Nighy,Underworld: Rise of the Lycans
Bill Paxton,Edge of Tomorrow
Bill Paxton,Mean Dreams
Bill Paxton,Nightcrawler
Bill Pullman,Independence Day: Resurgence
Billie Piper,City of Tiny Lights
Billy Bob Thornton,Faster
Billy Bob Thornton,The Judge
Billy Burke,Lights Out
Billy Burke,Twilight
Billy Connolly,Brave
Billy Crudup,20th Century Women
Billy Crudup,Jackie
Billy Crudup,The Stanford Prison Experiment
Billy Crystal,Monsters University
Billy Magnussen,Birth of the Dragon
Blake Jenner,Everybody Wants Some!!
Blake Jenner,The Edge of Seventeen
Blake Lively,Café Society
Blake Lively,Green Lantern
Blake Lively,Savages
Blake Lively,The Age of Adaline
Blake Lively,The Shallows
Blanche Baker,The Girl Next Door
Blythe Auffarth,The Girl Next Door
Blythe Danner,The Lucky One
Blythe Danner,What's Your Number?
Bob Balaban,I Am the Pretty Thing That Lives in the House
