actor,pelicula
Fernán Mirás,Kamchatka
Fernán Mirás,Re loca
Fernán Mirás,Recreo
Fernán Mirás,Tango feroz
Fernando Iglesias,El dependiente
Fernando Iglesias,Martín Fierro
Fernando Tielve,El espinazo del diablo
Filip Berg,En man som heter Ove
Fina Basser,El reñidero
Fiona Gordon,Paris pieds nus
Fionn O'Shea,Handsome Devil
Flora Steinberg,Los inundados
Florence Clery,The Light Between Oceans
Florence Kastriner,The Adjustment Bureau
Florence Pugh,Lady Macbeth
Florencia Bertotti,Igualita a mí
Florencia Peña,Casados con hijos
Florencia Peña,La panelista
Florencia Peña,Más respeto que soy tu madre
Forest Whitaker,Arrival
Forest Whitaker,Southpaw
Forest Whitaker,Taken 3
Forest Whitaker,The Butler
Fran Kranz,The Cabin in the Woods
Frances O'Connor,The Conjuring 2
Francesc Albiol,Perfume: The Story of a Murderer
Francesc Orella,Santa Evita
Francisco de Paula,El reñidero
Francisco Petrone,La guerra gaucha
Francisco Petrone,Prisioneros de la tierra
Francisco Rabal,La mano en la trampa
Franco Masini,El Clan
Franco Tirri,Okupas
François Cluzet,The Intouchables
Frank Grillo,The Purge: Election Year
Frank Langella,All Good Things
Frank Madigan,Macbeth
Fred Dalton Thompson,Sinister
Fred Willard,WALL·E
Freddie Crowder,Grimsby
Freddie Highmore,August Rush
Freddy Rodríguez,Planet Terror
Freida Pinto,Rise of the Planet of the Apes
Freida Pinto,Slumdog Millionaire
Gabourey Sidibe,Precious
Gabriel Basso,American Wrestler: The Wizard
Gabriel Basso,The Kings of Summer
Gabriel Basso,The Whole Truth
Gabriel Bateman,Lights Out
Gabriel Byrne,Vampire Academy
Gabriel Chavarria,Lowriders
Gabriel Goity,El encargado
Gabriel Goity,En la mira
Gabriel Goity,Entre hombres
Gabriel Goity,Un novio para mi mujer
Gabriel Luna,Transpecos
Gabriela Lopez,The 5th Wave
Gabriella Wilde,Carrie
Gabriella Wilde,Endless Love
Gaby Hoffmann,Wild
Gael García Bernal,Ardor
Gael García Bernal,Babel
Gael García Bernal,Diarios de motocicleta
Gael García Bernal,Rudo y Cursi
Gal Gadot,Criminal
Gal Gadot,Keeping Up with the Joneses
Garance Marillier,Raw (II)
Garret Dillahunt,Winter's Bone
Garrett Clayton,King Cobra
Garrett Hedlund,Billy Lynn's Long Halftime Walk
Garrett Hedlund,Pan
Garrett Hedlund,Tron
Garrett Hedlund,Unbroken
Garrett M. Brown,Kick-Ass
Gary Cole,Pineapple Express
Gary Cole,Talladega Nights: The Ballad of Ricky Bobby
Gary Oldman,Child 44
Gary Oldman,Criminal
Gary Oldman,Dawn of the Planet of the Apes
Gary Oldman,Man Down
Gary Oldman,RoboCop
Gary Oldman,The Book of Eli
Gary Oldman,The Dark Knight Rises
Gary Oldman,Tinker Tailor Soldier Spy
Gaspard Schlatter,Ma vie de Courgette
Gastón Cocchiarale,El Clan
Gastón Cocchiarale,El encargado
Gastón Pauls,Che
Gastón Pauls,Felicidades
Gastón Pauls,Iluminados por el fuego
Gastón Pauls,Nueve reinas
Gattlin Griffith,Changeling
Gedeon Burkhard,Lída Baarová
Gemma Arterton,Prince of Persia: The Sands of Time
Gemma Arterton,The Girl with All the Gifts
Gemma Arterton,Their Finest
Gemma Jones,Bridget Jones's Baby
Gemma Ward,The Strangers
Genesis Rodriguez,Tusk
Geoffrey Arend,(500) Days of Summer
Geoffrey Rush,La migliore offerta
Geoffrey Rush,Pirates of the Caribbean: At World's End
Geoffrey Rush,Pirates of the Caribbean: On Stranger Tides
Geoffrey Rush,The Daughter
Geoffrey Rush,The King's Speech
George Clooney,Fantastic Mr. Fox
George Clooney,Gravity
George Clooney,"Hail, Caesar!"
George Clooney,Money Monster
George Clooney,Ocean's Thirteen
George Clooney,The Descendants
George Clooney,Tomorrowland
George Clooney,Up in the Air
George Lopez,Rio
George MacKay,Captain Fantastic
Gerard Butler,300
Gerard Butler,Gods of Egypt
Gerard Butler,How to Train Your Dragon
Gerard Butler,How to Train Your Dragon 2
Gerard Butler,Law Abiding Citizen
Gerard Butler,London Has Fallen
Gerard Butler,Olympus Has Fallen
Gerard Butler,P.S. I Love You
Gerard Butler,RocknRolla
Gerard Butler,The Headhunter's Calling
Gerard Butler,The Ugly Truth
Gerardo Romano,Acusada
Gerardo Romano,Betibú
Gerardo Romano,El Marginal
Gerardo Romano,La cordillera
Gerardo Romano,La fuga
Gerardo Romano,Me casé con un boludo
Gerardo Romano,Miss Mary
Gerardo Taracena,Apocalypto
Germán de Silva,El patrón: radiografía de un crimen
Germán de Silva,Los dueños
Germán Palacios,"Franklin, historia de un billete"
Germán Palacios,Temporada de caza
Germán Palacios,XXY
Gerry Bednob,Zack and Miri Make a Porno
Ghita Nørby,Jauja
Gian Keys,The Love Witch
Giancarlo Esposito,Maze Runner: The Scorch Trials
Gil Birmingham,Hell or High Water
Gil Birmingham,The Twilight Saga: Breaking Dawn - Part 1
Gillian Jacobs,Don't Think Twice
Gimena Accardi,El hijo de la novia
Gina Carano,Kickboxer: Vengeance
Ginnifer Goodwin,Zootopia
Giovanni Ribisi,Gangster Squad
Giselle Motta,El Clan
Giuseppe Battiston,Perfetti sconosciuti
Glenn Close,The Girl with All the Gifts
Gloria Carrá,Abzurdah
Golde Flami,Amorina
Golshifteh Farahani,Body of Lies
Golshifteh Farahani,Paterson
Gonzalo Heredia,Omisión
Grace Van Patten,Tramps
Graciela Borges,Circe
Graciela Borges,Crónica de una señora
Graciela Borges,Dos hermanos
Graciela Borges,El cuento de las comadrejas
Graciela Borges,El dependiente
Graciela Borges,El infierno tan temido
Graciela Borges,Fin de fiesta
Graciela Borges,Heroína
Graciela Borges,Invierno en el Delta
Graciela Borges,La ciénaga
Graciela Borges,La terraza
Graciela Borges,Las manos
Graciela Borges,Los viciosos
Graciela Borges,Monos con navaja
Graciela Borges,Pobre mariposa
Graciela Borges,Pubis angelical
Graciela Borges,Sola
Graciela Borges,Triángulo de cuatro
Graciela Borges,Viudas
Graciela Tenenbaum,Nueve reinas
Graham McTavish,Rambo
Graham Skipper,Beyond the Gates
Greg Kinnear,Little Miss Sunshine
Gregg Weiner,War Dogs
Gregory Jones,Stake Land
Greta Gerwig,20th Century Women
Greta Gerwig,Jackie
Gretchen Mol,The Headhunter's Calling
Griselda Siciliani,Sentimental
Gugu Mbatha-Raw,Free State of Jones
Gugu Mbatha-Raw,Miss Sloane
Gugu Mbatha-Raw,The Whole Truth
Guillaume Baillargeon,The Walk
Guillermina Valdés,El hilo rojo
Guillermo Angelelli,Moebius
Guillermo Arengo,Más respeto que soy tu madre
Guillermo Battaglia,La historia oficial
Guillermo Francella,Animal
Guillermo Francella,Casados con hijos
Guillermo Francella,Corazón de león
Guillermo Francella,El Clan
Guillermo Francella,El encargado
Guillermo Francella,El robo del siglo
Guillermo Francella,El secreto de sus ojos
Guillermo Francella,Granizo
Guillermo Francella,"Los que aman, odian"
Guillermo Francella,Mi obra maestra
Guillermo Francella,Rudo y Cursi
Gustavo Bassani,"Iosi, el espía arrepentido"
Gustavo Garzón,Sueño Florianópolis
Guy Pearce,Brimstone
Guy Pearce,Iron Man Three
Guy Pearce,Lawless
Guy Pearce,The Hurt Locker
Gwyneth Paltrow,Contagion
Gwyneth Paltrow,Iron Man
Gwyneth Paltrow,Iron Man 2
Gwyneth Paltrow,Iron Man Three
Hae-il Park,The Host
Hailee Steinfeld,3 Days to Kill
Hailee Steinfeld,Begin Again
Hailee Steinfeld,Ender's Game
Hailee Steinfeld,Pitch Perfect 2
Hailee Steinfeld,The Edge of Seventeen
Hailee Steinfeld,True Grit
Haley Bennett,A Kind of Murder
Haley Bennett,Hardcore Henry
Haley Bennett,Rules Don't Apply
Haley Bennett,The Girl on the Train
Haley Joel Osment,Tusk
Haley Lu Richardson,Split
Haley Lu Richardson,The Edge of Seventeen
Halle Berry,Cloud Atlas
Halle Berry,X-Men: The Last Stand
Hans Matheson,300: Rise of an Empire
Harley Quinn Smith,Yoga Hosers
Harold Perrineau,28 Weeks Later
Harrison Ford,42
Harrison Ford,Ender's Game
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull
Harrison Ford,The Age of Adaline
Harry Connick Jr.,P.S. I Love You
Harvey Keitel,Youth
Haydée Padilla,Tiempo de revancha
Hayden Christensen,Jumper
Hayden Panettiere,Custody
Hayley Atwell,Captain America: The First Avenger
Hayley McElhinney,The Babadook
Hayley Squires,"I, Daniel Blake"
Heath Ledger,A Knight's Tale
Heath Ledger,The Dark Knight
Heath Ledger,The Imaginarium of Doctor Parnassus
Heather Matarazzo,Hostel: Part II
Heather Sossaman,Unfriended
Héctor Alterio,Caballos salvajes
Héctor Alterio,Camila
Héctor Alterio,Cenizas del paraíso
Héctor Alterio,El hijo de la novia
Héctor Alterio,El santo de la espada
Héctor Alterio,Esperando al Mesías
Héctor Alterio,Kamchatka
Héctor Alterio,La historia oficial
Héctor Alterio,La Patagonia rebelde
Héctor Alterio,La tregua
Héctor Alterio,Los siete locos
Héctor Alterio,Tango feroz
Héctor Alterio,"Yo, la peor de todas"
Héctor Anglada,"Pizza, birra, faso"
Héctor Bidonde,No habrá más penas ni olvido
Hee-Bong Byun,The Host
Helen Mirren,Eye in the Sky
Helen Mirren,Monsters University
Helen Mirren,RED
Helen Mirren,Woman in Gold
Helena Bonham Carter,Alice in Wonderland
Helena Bonham Carter,Alice Through the Looking Glass
Helena Bonham Carter,Cinderella
Helena Bonham Carter,Dark Shadows
Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street
Helena Bonham Carter,The King's Speech
Henry Cavill,Batman v Superman: Dawn of Justice
Henry Cavill,Immortals
Henry Cavill,Man of Steel
Henry Cavill,The Man from U.N.C.L.E.
Henry Thomas,Ouija: Origin of Evil
Hermione Corfield,Fallen
Hilary Swank,Freedom Writers
Hilary Swank,P.S. I Love You
Hiroki Hasegawa,Shin Gojira
Horacio Estrada,Granizo
Horacio Fontova,Metegol
Horacio Peña,Luna de Avellaneda
Horacio Taicher,"Gatica, el mono"
Hristos Passalis,Kynodontas
Hugh Grant,Cloud Atlas
Hugh Grant,Florence Foster Jenkins
Hugh Jackman,Australia
Hugh Jackman,Chappie
Hugh Jackman,Eddie the Eagle
Hugh Jackman,Happy Feet
Hugh Jackman,Les Misérables
Hugh Jackman,Pan
Hugh Jackman,Prisoners
Hugh Jackman,Real Steel
Hugh Jackman,The Fountain
Hugh Jackman,The Prestige
Hugh Jackman,The Wolverine
Hugh Jackman,X-Men Origins: Wolverine
Hugh Jackman,X-Men: Days of Future Past
Hugh Jackman,X-Men: The Last Stand
Hugh Laurie,Tomorrowland
Hugo Arana,La historia oficial
Hugo del Carril,Amorina
Hugo Silva,El hilo rojo
Hugo Weaving,Captain America: The First Avenger
Hugo Weaving,Cloud Atlas
Hugo Weaving,The Dressmaker
Humberto Serrano,El hijo de la novia
Hunter McCracken,The Tree of Life
Iain Glen,Resident Evil: The Final Chapter
Ian Holm,Ratatouille
Ian McKellen,Stardust
Ian McKellen,The Da Vinci Code
Ian McKellen,The Hobbit: An Unexpected Journey
Ian McKellen,The Hobbit: The Battle of the Five Armies
Ian McKellen,The Hobbit: The Desolation of Smaug
Ian McKellen,X-Men: Days of Future Past
Ian McShane,Death Race
Ian McShane,Hercules
Ian McShane,Kung Fu Panda
Ian McShane,Pirates of the Caribbean: On Stranger Tides
Ice Cube,21 Jump Street
Ice Cube,22 Jump Street
Ice Cube,Barbershop: The Next Cut
Ida Engvoll,En man som heter Ove
Idina Menzel,Frozen
Idris Elba,Bastille Day
Idris Elba,Pacific Rim
Idris Elba,RocknRolla
Idris Elba,The Gunman
Idris Elba,The Jungle Book
Idris Elba,The Suicide Squad
Idris Elba,Zootopia
Ignacio Abad,Nueve reinas
Ignacio Huang,Un cuento chino
Ike Barinholtz,Sisters
Imanol Arias,Camila
Imelda Staunton,Freedom Writers
Imogen Poots,Filth
Imogen Poots,Green Room
Imogen Poots,Need for Speed
Imogen Poots,That Awkward Moment
India Eisley,Underworld Awakening
Inés Efron,El niño pez
Inés Efron,La mujer sin cabeza
Inés Efron,XXY
Inés Estévez,Acusada
Inés Estévez,Pipa
Ingrid Rubio,El faro
Inma Cuesta,Kóblic
Irene Jacob,La educación de las hadas
Iris Apatow,This Is 40
Irrfan Khan,Inferno
Irrfan Khan,Life of Pi
Irrfan Khan,The Amazing Spider-Man
Isabel Lucas,Red Dawn
Isabel Macedo,Sandro de América
Isabel Sarli,Desnuda en la arena
Isabel Sarli,El solitario
Isabel Sarli,Embrújame
Isabel Sarli,Éxtasis tropical
Isabel Sarli,Fiebre
Isabel Sarli,Fugitiva
Isabel Sarli,Intimidades de una cualquiera
Isabel Sarli,La diosa impura
Isabel Sarli,La Leona
Isabel Sarli,La mujer del zapatero
Isabel Sarli,La viuda descocada
Isabel Sarli,Lujuria tropical
Isabel Sarli,Una mariposa en la noche
Isabella Rossellini,Enemy
Isabelle Fuhrman,Orphan
Isabelle Huppert,Elle
Isabelle Huppert,L'avenir
Isabelle Nélisse,Mama
Isaiah Stone,Winter's Bone
Isla Fisher,Keeping Up with the Joneses
Israel Broussard,Good Kids
Iván Hochman,El amor después del amor
Ivana Baquero,Pan's Labyrinth
Ivo Nandi,A Cure for Wellness
J. Todd Smith,What to Expect When You're Expecting
J.K. Simmons,La La Land
J.K. Simmons,Patriots Day
J.K. Simmons,Rock Dog
J.K. Simmons,The Accountant
J.K. Simmons,Whiplash
Jack Black,Goosebumps
Jack Black,Kung Fu Panda
Jack Black,Kung Fu Panda 3
Jack Black,Tropic Thunder
Jack Davenport,A United Kingdom
Jack Davenport,Pirates of the Caribbean: Dead Man's Chest
Jack Holden,The Levelling
Jack Huston,Ben-Hur
Jack Huston,Pride and Prejudice and Zombies
Jack Huston,The Longest Ride
Jack Huston,Their Finest
Jack Madigan,Macbeth
Jack McBrayer,Wreck-It Ralph
Jack Nicholson,The Departed
Jack O'Connell,Money Monster
Jack O'Connell,Unbroken
Jack Reynor,Sing Street
Jack Reynor,Transformers: Age of Extinction
Jack Taylor,Triangle
Jacki Weaver,Silver Linings Playbook
Jackie Chan,The Karate Kid
Jackie Earle Haley,Watchmen
Jackson Rathbone,The Last Airbender
Jacob Latimore,Sleight
Jacob Tremblay,Before I Wake
Jacob Tremblay,Room
Jacob Tremblay,Shut In
Jade Asha,The Intent
Jaden Smith,After Earth
Jaden Smith,The Karate Kid
Jaden Smith,The Pursuit of Happyness
Jae Head,Hancock
Jae Head,The Blind Side
Jael Elizabeth Steinmeyer,Megan Is Missing
Jahking Guillory,Kicks
Jai Courtney,Divergent
Jai Courtney,Man Down
Jai Courtney,Terminator Genisys
Jai Courtney,The Exception
Jaime Winstone,"Love, Rosie"
Jake Abel,The Host
Jake Gyllenhaal,Demolition
Jake Gyllenhaal,End of Watch
Jake Gyllenhaal,Enemy
Jake Gyllenhaal,Love & Other Drugs
Jake Gyllenhaal,Nightcrawler
Jake Gyllenhaal,Nocturnal Animals
Jake Gyllenhaal,Prince of Persia: The Sands of Time
Jake Gyllenhaal,Prisoners
Jake Gyllenhaal,Source Code
Jake Gyllenhaal,Southpaw
Jake Gyllenhaal,Zodiac
Jake Johnson,Let's Be Cops
Jalil Lespert,Iris
Jamal Woolard,Notorious
James Allen McCune,Blair Witch
James Badge Dale,13 Hours
James Badge Dale,Shame
James Badge Dale,Spectral
James Badge Dale,World War Z
James Cosmo,Whisky Galore
James DuMont,Deepwater Horizon
James Floyd,City of Tiny Lights
James Franco,127 Hours
James Franco,In Dubious Battle
James Franco,Oz the Great and Powerful
James Franco,Pineapple Express
James Franco,Rise of the Planet of the Apes
James Franco,The Interview
James Franco,This Is the End
James Franco,Why Him?
James Franco,Your Highness
James Frecheville,Adoration
James Frecheville,The First Time
James Gandolfini,The Drop
James Hamrick,Devil's Knot
James Kelley,King Cobra
James Marsden,Enchanted
James Marsden,Superman Returns
James Marsden,The Best of Me
James Marsden,The Loft
James Marsters,Dragonball Evolution
James McAvoy,Atonement
James McAvoy,Filth
James McAvoy,Split
James McAvoy,Trance
James McAvoy,Victor Frankenstein
James McAvoy,Wanted
James McAvoy,X-Men: Apocalypse
James McAvoy,X-Men: Days of Future Past
James McAvoy,X: First Class
James Ransone,Mr. Right
James Ransone,Sinister
James Russell,The Boy
Jamie Bell,Fantastic Four
Jamie Bell,Filth
Jamie Bell,Jane Eyre
Jamie Bell,Jumper
Jamie Bell,Man on a Ledge
Jamie Bell,Nymphomaniac: Vol. II
Jamie Bell,Snowpiercer
Jamie Blackley,If I Stay
Jamie Campbell Bower,The Mortal Instruments: City of Bones
Jamie Chung,Big Hero 6
Jamie Dornan,Anthropoid
Jamie Dornan,Fifty Shades of Grey
Jamie Dornan,The 9th Life of Louis Drax
Jamie Dornan,The Siege of Jadotville
Jamie Foxx,Annie
Jamie Foxx,Django Unchained
Jamie Foxx,Law Abiding Citizen
Jamie Foxx,The Amazing Spider-Man 2
Jamie Foxx,White House Down
Jan Cornet,The Skin I Live In
Jane Fonda,The Butler
Jane Fonda,Youth
Jane Levy,Don't Breathe
Jane Levy,Evil Dead
Jane Levy,Monster Trucks
Jane Lynch,Wreck-It Ralph
Janelle Monáe,Hidden Figures
Janet McTeer,Me Before You
Janet Montgomery,Amateur Night
January Jones,Unknown
Jared Gilman,Moonrise Kingdom
Jared Harris,Allied
Jared Harris,Sherlock Holmes: A Game of Shadows
Jared Harris,The Last Face
Jared Leto,Dallas Buyers Club
Jared Leto,Mr. Nobody
Jared Leto,Suicide Squad
Jared Padalecki,Friday the 13th
Jasmine Trinca,The Gunman
Jason Barry,I.T.
Jason Bateman,Couples Retreat
Jason Bateman,Hancock
Jason Bateman,Horrible Bosses
Jason Bateman,Horrible Bosses 2
Jason Bateman,Juno
Jason Bateman,Office Christmas Party
Jason Bateman,The Gift
Jason Bateman,Up in the Air
Jason Bateman,Zootopia
Jason Biggs,Amateur Night
Jason Biggs,American Reunion
Jason Clarke,Everest
Jason Clarke,Lawless
Jason Clarke,Public Enemies
Jason Clarke,Terminator Genisys
Jason Clarke,Trust
Jason Clarke,White House Down
Jason Cope,District 9
Jason Flemyng,Clash of the Titans
Jason Isaacs,A Cure for Wellness
Jason Mitchell,Straight Outta Compton
Jason Momoa,Conan the Barbarian
Jason Momoa,The Bad Batch
Jason O'Mara,The Siege of Jadotville
Jason O'Mara,Wakefield
Jason Schwartzman,Fantastic Mr. Fox
Jason Schwartzman,Marie Antoinette
Jason Segel,Despicable Me
Jason Segel,Forgetting Sarah Marshall
Jason Segel,Sex Tape
Jason Statham,Death Race
Jason Statham,Furious Seven
Jason Statham,Mechanic: Resurrection
Jason Statham,Spy
Jason Statham,The Expendables
Jason Statham,The Expendables 3
Jason Sudeikis,Angry Birds
Jason Sudeikis,Colossal
Jason Sudeikis,Horrible Bosses
Jason Sudeikis,Horrible Bosses 2
Jason Sudeikis,Mother's Day
Jason Sudeikis,Sleeping with Other People
Jason Sudeikis,We're the Millers
Jasper Newell,We Need to Talk About Kevin
Javier Bardem,Dune: Part Two
Javier Bardem,No Country for Old Men
Javier Bardem,Skyfall
Javier Bardem,The Counselor
Javier Bardem,The Gunman
Javier Bardem,The Last Face
Javier Bardem,Todos lo saben
Javier Bardem,Vicky Cristina Barcelona
Javier Cámara,Hable con ella
Javier Cámara,Sentimental
Javier Cámara,Truman
Javier Cámara,Una pistola en cada mano
Javier Drolas,"Gilda, no me arrepiento de este amor"
Javier Drolas,Las buenas intenciones
Javier Godino,El secreto de sus ojos
Javier Portales,El manosanta está cargado
Javier Portales,Los colimbas se divierten
Jay Baruchel,How to Train Your Dragon
Jay Baruchel,How to Train Your Dragon 2
Jay Baruchel,She's Out of My League
Jay Baruchel,This Is the End
Jazmín Stuart,Fase 7
Jazmín Stuart,Los paranoicos
Jazmín Stuart,Recreo
Jean Dujardin,The Artist
Jean Reno,The Da Vinci Code
Jean-Claude Van Damme,Kickboxer: Vengeance
Jean-Claude Van Damme,The Expendables 2
Jeff Branson,I Spit on Your Grave
Jeff Bridges,Hell or High Water
Jeff Bridges,Iron Man
Jeff Bridges,Seventh Son
Jeff Bridges,The Giver
Jeff Bridges,Tron
Jeff Bridges,True Grit
Jeff Daniel Phillips,31
Jeff Daniels,Allegiant
Jeff Daniels,Steve Jobs
Jeff Garlin,WALL·E
Jeff Goldblum,Independence Day: Resurgence
Jeff Kahn,Tropic Thunder
Jeffrey Dean Morgan,Solace
Jeffrey Vincent Parise,The Love Witch
Jeffrey Wright,Casino Royale
Jeffrey Wright,Lady in the Water
Jeffrey Wright,Source Code
Jelena Gavrilovic,Srpski film
Jemaine Clement,Men in Black 3
Jemaine Clement,The BFG
Jemaine Clement,What We Do in the Shadows
Jemima West,The Mortal Instruments: City of Bones
Jena Malone,Lovesong
Jena Malone,Sucker Punch
Jenna Dewan Tatum,10 Years
Jenna Dewan Tatum,Step Up
Jenna Elfman,Friends with Benefits
Jennette McCurdy,Pet
Jennifer Aniston,He's Just Not That Into You
Jennifer Aniston,Horrible Bosses 2
Jennifer Aniston,Just Go with It
Jennifer Aniston,Mother's Day
Jennifer Aniston,Office Christmas Party
Jennifer Aniston,Storks
Jennifer Aniston,The Break-Up
Jennifer Aniston,We're the Millers
Jennifer Connelly,American Pastoral
Jennifer Connelly,Blood Diamond
Jennifer Connelly,He's Just Not That Into You
Jennifer Connelly,Noah
Jennifer Ehle,A Quiet Passion
Jennifer Ehle,Fifty Shades of Grey
Jennifer Garner,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Jennifer Garner,Dallas Buyers Club
Jennifer Garner,Juno
Jennifer Garner,Miracles from Heaven
Jennifer Garner,Nine Lives
Jennifer Garner,Wakefield
Jennifer Jason Leigh,The Hateful Eight
Jennifer Jason Leigh,The Spectacular Now
Jennifer Koenig,Wrecker
Jennifer Lawrence,American Hustle
Jennifer Lawrence,Joy
Jennifer Lawrence,Passengers
Jennifer Lawrence,Silver Linings Playbook
Jennifer Lawrence,The Hunger Games
Jennifer Lawrence,The Hunger Games: Catching Fire
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2
Jennifer Lawrence,Winter's Bone
Jennifer Lawrence,X-Men: Apocalypse
Jennifer Lawrence,X: First Class
Jennifer Lopez,Home
Jennifer Lopez,The Boy Next Door
Jennifer Morrison,Warrior
Jennifer Saunders,Coraline
Jenny Slate,Zootopia
Jérémie Renier,Elefante blanco
Jeremy Davies,Rescue Dawn
Jeremy Irons,Assassin's Creed
Jeremy Irons,High-Rise
Jeremy Irons,Inland Empire
Jeremy Irons,The Man Who Knew Infinity
Jeremy Irvine,Fallen
Jeremy Irvine,This Beautiful Fantastic
Jeremy McWilliams,Under the Skin
Jeremy Renner,28 Weeks Later
Jeremy Renner,Arrival
Jeremy Renner,Mission: Impossible - Ghost Protocol
Jeremy Renner,Mission: Impossible - Rogue Nation
Jeremy Renner,The Avengers
Jeremy Renner,The Bourne Legacy
Jeremy Renner,The Hurt Locker
Jeremy Renner,The Town
Jerry Ferrara,Entourage
Jerry O'Connell,Piranha 3D
Jerry Stiller,The Heartbreak Kid
Jesse Borrego,Dead Awake
Jesse Bradford,Dead Awake
Jesse Eisenberg,Batman v Superman: Dawn of Justice
Jesse Eisenberg,Café Society
Jesse Eisenberg,Now You See Me
Jesse Eisenberg,Now You See Me 2
Jesse Eisenberg,Rio
Jesse Eisenberg,The Social Network
Jesse Eisenberg,To Rome with Love
Jesse Eisenberg,Zombieland
Jesse Plemons,The Master
Jessica Alba,Mechanic: Resurrection
Jessica Alba,Sin City: A Dame to Kill For
Jessica Barden,The Lobster
Jessica Barth,Ted 2
Jessica Biel,A Kind of Murder
Jessica Biel,The A-Team
Jessica Biel,The Illusionist
Jessica Brown Findlay,This Beautiful Fantastic
Jessica Brown Findlay,Victor Frankenstein
Jessica Chastain,Crimson Peak
Jessica Chastain,Interstellar
Jessica Chastain,Mama
Jessica Chastain,Miss Sloane
Jessica Chastain,The Huntsman: Winter's War
Jessica Chastain,The Martian
Jessica Chastain,The Tree of Life
Jessica Chastain,Zero Dark Thirty
Jessica Lange,The Gambler
Jessica Lucas,Cloverfield
Jessica Lucas,Evil Dead
Jessica Sula,Split
Jessica Vanessa DeLeon,Only for One Night
Jessie Ok Gray,Lovesong
Jet Li,The Expendables
Jet Li,The Expendables 3
Jet Li,The Mummy: Tomb of the Dragon Emperor
Ji-min Han,The Age of Shadows
Jim Broadbent,Bridget Jones's Baby
Jim Broadbent,Brooklyn
Jim Broadbent,Closed Circuit
Jim Carrey,Kick-Ass 2
Jim Carrey,The Bad Batch
Jim Carrey,True Crimes
Jim Caviezel,Deja Vu
Jim Norton,The Boy
Jim Parsons,Home
Jim Sturgess,21
Jim Sturgess,Across the Universe
Jim Sturgess,La migliore offerta
Jim Sturgess,One Day
Jim Sturgess,The Other Boleyn Girl
Jin-woong Jo,Ah-ga-ssi
Jo Hartley,Eddie the Eagle
Joan Allen,Death Race
Joan Allen,Hachi: A Dog's Tale
Joan Allen,The Bourne Ultimatum
Joan Cusack,Toy Story 3
Joanne Froggatt,A Street Cat Named Bob
Joaquín Furriel,El faro de las orcas
Joaquín Furriel,El patrón: radiografía de un crimen
Joaquín Furriel,El reino
Joaquin Phoenix,Her
Joaquin Phoenix,Inherent Vice
Joaquin Phoenix,The Master
Joaquín Rapalini,El faro de las orcas
Jocelin Donahue,Dead Awake
Jodie Foster,Elysium
Jodie Foster,Inside Man
Joe Alwyn,Billy Lynn's Long Halftime Walk
Joe Anderson,Across the Universe
Joe Anderson,Horns
Joe Blakemore,The Levelling
Joe Cobden,Mean Dreams
Joe Manganiello,Magic Mike XXL
Joel Courtney,Super 8
Joel David Moore,The Guest
Joel Edgerton,Black Mass
Joel Edgerton,Exodus: Gods and Kings
Joel Edgerton,Loving
Joel Edgerton,Midnight Special
Joel Edgerton,The Gift
Joel Edgerton,The Great Gatsby
Joel Edgerton,Warrior
Joel Edgerton,Zero Dark Thirty
Joel Kinnaman,Child 44
Joel Kinnaman,RoboCop
Joel McHale,Ted
Joely Richardson,Fallen
Joey Lauren Adams,The Break-Up
Joey Morgan,Scouts Guide to the Zombie Apocalypse
John Alexander,Hellboy II: The Golden Army
John Boyega,Star Wars: Episode VII - The Force Awakens
John C. McGinley,The Belko Experiment
John C. Reilly,Il racconto dei racconti - Tale of Tales
John C. Reilly,Step Brothers
John C. Reilly,Talladega Nights: The Ballad of Ricky Bobby
John C. Reilly,The Dictator
John C. Reilly,We Need to Talk About Kevin
John C. Reilly,Wreck-It Ralph
John Carroll Lynch,The Founder
John Corbett,My Big Fat Greek Wedding 2
John Corbett,The Boy Next Door
John Cullum,Before We Go
John Cusack,1408
John Cusack,2012
John Cusack,The Butler
John D'Leo,The Family
John DeLuca,Chalk It Up
John Doman,Blue Valentine
John Francis Daley,5- 25- 77
John Gallagher Jr.,10 Cloverfield Lane
John Gallagher Jr.,Hush
John Gallagher Jr.,The Belko Experiment
John Goodman,10 Cloverfield Lane
John Goodman,Argo
John Goodman,Flight
John Goodman,Monsters University
John Goodman,Patriots Day
John Goodman,The Artist
John Goodman,The Gambler
John Hawkes,Winter's Bone
John Hodgman,Coraline
John Hurt,Hercules
John Hurt,Immortals
John Krasinski,13 Hours
John Leguizamo,Ice Age: Collision Course
John Leguizamo,The Happening
John Leguizamo,The Infiltrator
John Malkovich,Warm Bodies
John Ortiz,Aliens vs Predator - Requiem
John Ratzenberger,Up
John Travolta,Hairspray
John Turturro,You Don't Mess with the Zohan
Johnny Depp,Alice in Wonderland
Johnny Depp,Alice Through the Looking Glass
Johnny Depp,Black Mass
Johnny Depp,Dark Shadows
Johnny Depp,Pirates of the Caribbean: At World's End
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest
